ID;Customer_ID;Month;Name;Age;SSN;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Type_of_Loan;Delay_from_due_date;Num_of_Delayed_Payment;Changed_Credit_Limit;Num_Credit_Inquiries;Credit_Mix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Payment_Behaviour;Monthly_Balance;Credit_Score
0x185af;CUS_0xbd2c;October;Paul Carrelf;44;064-72-7992;Scientist;29647,92;2329,66;6;4;19;-100;Home Equity Loan, Personal Loan, Auto Loan, and Auto Loan;7;12;10,9;10;Standard;516,42;24,44794162;18 Years and 2 Months;Yes;82,41882696;83,1570742;High_spent_Medium_value_payments;317,3900988;
0x185b0;CUS_0xbd2c;November;Paul Carrelf;44;064-72-7992;Scientist;29647,92;2329,66;6;4;19;4;Home Equity Loan, Personal Loan, Auto Loan, and Auto Loan;7;12;13,9;10;Standard;516,42;34,65266699;18 Years and 3 Months;Yes;82,41882696;79,80341386;High_spent_Medium_value_payments;320,7437592;
0x185b1;CUS_0xbd2c;December;Paul Carrelf;43;064-72-7992;Scientist;29647,92;2329,66;6;4;19;4;Home Equity Loan, Personal Loan, Auto Loan, and Auto Loan;7;8;10,9;5;Standard;516,42;25,31044855;18 Years and 4 Months;Yes;82,41882696;130,5001509;High_spent_Small_value_payments;290,0470221;
0x185ba;CUS_0x831c;September;McCoolk;36;585-07-1420;Engineer;30296;2732,666667;10;8;22;6;Student Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Personal Loan;32;21;4,14;14;Bad;2851,57;32,34559761;3 Years and 7 Months;Yes;124,5743201;263,4202534;Low_spent_Medium_value_payments;165,2720932;
0x185bb;CUS_0x831c;October;McCoolk;36;585-07-1420;Engineer;30296;2732,666667;10;8;22;6;Student Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Personal Loan;28;21;4,14;1663;Bad;2851,57;25,20779584;3 Years and 8 Months;Yes;124,5743201;38,89608134;High_spent_Large_value_payments;349,7962653;
0x185bc;CUS_0x831c;November;McCoolk;37;585-07-1420;Engineer;30296;2732,666667;10;8;22;6;Student Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Personal Loan;28;21;4,14;14;Bad;2851,57;37,64839103;3 Years and 9 Months;Yes;124,5743201;67,76574112;High_spent_Small_value_payments;340,9266055;
0x185bd;CUS_0x831c;December;McCoolk;36;585-07-1420;Engineer;30296;2732,666667;10;8;22;6;Student Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Personal Loan;28;21;4,14;10;Bad;2851,57;37,83718022;3 Years and 10 Months;Yes;124,5743201;316,328265;Low_spent_Small_value_payments;122,3640817;
0x185c6;CUS_0xb3a;September;Boselliv;16;769-19-8784;Mechanic;41391,06;3358,255;7;4;10;0;;30;11;10,4;8;Standard;759,29;36,89973503;11 Years and 9 Months;Yes;0;243,0874593;Low_spent_Large_value_payments;362,7380407;
0x185c7;CUS_0xb3a;October;Boselliv;16;769-19-8784;Mechanic;41391,06;3358,255;7;4;10;0;;30;11;10,4;8;Standard;759,29;30,6979419;11 Years and 10 Months;Yes;0;175,3070384;Low_spent_Small_value_payments;450,5184616;
0x185c8;CUS_0xb3a;November;Boselliv;16;769-19-8784;Mechanic;41391,06;3358,255;7;4;10;0;;30;11;10,4;10;Standard;759,29;38,92973107;11 Years and 11 Months;NM;0;88,58383562;High_spent_Medium_value_payments;497,2416644;
0x185c9;CUS_0xb3a;December;Boselliv;15;769-19-8784;Mechanic;41391,06;3358,255;7;1426;10;0;;30;11;10,4;8;_;759,29;33,22666137;12 Years and 0 Months;Yes;0;201,7724384;Low_spent_Large_value_payments;404,0530616;
0x185d2;CUS_0xa68e;September;Euan Rochaz;16;089-19-7596;Entrepreneur;26065,91;2342,159167;7;5;9;2;Home Equity Loan, and Credit-Builder Loan;6;16;14,87;6;Standard;388,24;28,926325;8 Years and 7 Months;Yes;22,152922;43,89961538;High_spent_Medium_value_payments;418,1633793;
0x185d3;CUS_0xa68e;October;Euan Rochaz;16;089-19-7596;Entrepreneur;26065,91;2342,159167;7;5;9;2;Home Equity Loan, and Credit-Builder Loan;6;16;14,87;1968;Standard;388,24;27,3879247;8 Years and 8 Months;Yes;22,152922;;Low_spent_Large_value_payments;348,9877697;
0x185d4;CUS_0xa68e;November;Euan Rochaz;16;089-19-7596;Entrepreneur;26065,91;2342,159167;7;5;9;2;Home Equity Loan, and Credit-Builder Loan;6;18;14,87;1852;Standard;388,24;32,63388021;8 Years and 9 Months;Yes;22,152922;77,72770414;High_spent_Medium_value_payments;384,3352905;
0x185d5;CUS_0xa68e;December;Euan Rochaz;15;089-19-7596;Entrepreneur;26065,91;2342,159167;7;1411;9;2;Home Equity Loan, and Credit-Builder Loan;6;16;14,87;6;Standard;388,24;26,57992431;8 Years and 10 Months;Yes;22,152922;194,8321578;Low_spent_Small_value_payments;307,2308369;
0x185de;CUS_0x55fd;September;Lukex;35;905-14-5788;Scientist;8291,845;946,9870833;8;9;29;5;Personal Loan, Auto Loan, Student Loan, Payday Loan, and Student Loan;18;23;23,81;15;Bad;4662,8;28,27074103;4 Years and 10 Months;Yes;28,41658569;95,01953053;Low_spent_Small_value_payments;261,2625921;
0x185df;CUS_0x55fd;October;Lukex;35;905-14-5788;Scientist;8291,845;946,9870833;8;9;29;5;Personal Loan, Auto Loan, Student Loan, Payday Loan, and Student Loan;18;22;23,81;15;Bad;4662,8;31,28166698;5 Years and 0 Months;Yes;28,41658569;92,38839628;Low_spent_Medium_value_payments;253,8937264;
0x185e0;CUS_0x55fd;November;Lukex;35;905-14-5788;Scientist;8291,845;946,9870833;8;9;29;5;Personal Loan, Auto Loan, Student Loan, Payday Loan, and Student Loan;18;24;23,81;15;Bad;4662,8;39,33886699;5 Years and 0 Months;Yes;28,41658569;36,64530044;Low_spent_Large_value_payments;299,6368222;
0x185e1;CUS_0x55fd;December;Lukex;34;905-14-5788;Scientist;8291,845;946,9870833;8;9;29;5;Personal Loan, Auto Loan, Student Loan, Payday Loan, and Student Loan;18;23;23,81;10;Bad;4662,8;24,95819843;5 Years and 1 Months;Yes;28,41658569;79,10067493;Low_spent_Small_value_payments;277,1814477;
0x18686;CUS_0x87b8;September;Brettj;31;468-89-4698;Scientist;23054,08;2052,173333;3;3;16;0;;9;6;19,85;1;Standard;573,89;35,88395678;26 Years and 5 Months;Yes;0;141,6443753;High_spent_Small_value_payments;323,572958;
0x18687;CUS_0x87b8;October;Brettj;31;468-89-4698;Scientist;23054,08;2052,173333;3;3;16;0;;7;8;16,85;1;Standard;573,89;23,56200648;26 Years and 6 Months;Yes;0;146,1230085;Low_spent_Small_value_payments;349,0943248;
0x18688;CUS_0x87b8;November;Brettj;31;468-89-4698;Scientist;23054,08;2052,173333;3;3;16;0;;9;8;19,85;1;Standard;573,89;33,92057029;26 Years and 7 Months;Yes;0;37,71914381;High_spent_Small_value_payments;427,4981895;
0x18689;CUS_0x87b8;December;Brettj;30;468-89-4698;Scientist;23054,08;7343,253333;3;3;16;0;;9;8;19,85;0;Standard;573,89;29,17246466;26 Years and 8 Months;Yes;0;40,49206101;High_spent_Large_value_payments;404,7252723;
0x188d2;CUS_0x6bbe;September;Wendli;24;848-05-5428;Lawyer;87939,04;7343,253333;2;4;11;2;Debt Consolidation Loan, and Payday Loan;8;7;5,98;4;Good;320,89;42,09715636;26 Years and 0 Months;No;74,00774816;;High_spent_Medium_value_payments;780,5219961;
0x188d3;CUS_0x6bbe;October;Wendli;24;848-05-5428;Lawyer;87939,04;7343,253333;2;4;11;2;Debt Consolidation Loan, and Payday Loan;8;7;5,98;8;Good;320,89;37,28909467;26 Years and 1 Months;No;74,00774816;522,5886087;Low_spent_Large_value_payments;407,7289765;
0x188d4;CUS_0x6bbe;November;Wendli;24;848-05-5428;Lawyer;87939,04;7343,253333;2;4;11;2;Debt Consolidation Loan, and Payday Loan;8;7;5,98;8;Good;320,89;32,64056565;26 Years and 2 Months;No;74,00774816;298,1877836;High_spent_Medium_value_payments;612,1298016;
0x188d5;CUS_0x6bbe;December;Wendli;23;848-05-5428;Lawyer;87939,04;2728,973333;2;4;11;2;Debt Consolidation Loan, and Payday Loan;11;7;5,98;4;Good;320,89;41,33893753;26 Years and 3 Months;No;74,00774816;295,3472444;Low_spent_Medium_value_payments;644,9703408;
0x188de;CUS_0x1664;September;Noelv;30;415-68-9816;Developer;29375,68;2728,973333;4;8;27;6;Personal Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan;5;12;12,26;15;Standard;1985,59;22,65719666;19 Years and 5 Months;Yes;90,86095344;144,5879065;Low_spent_Large_value_payments;307,4484734;
0x188df;CUS_0x1664;October;Noelv;30;415-68-9816;Developer;29375,68;2728,973333;4;8;27;6;Personal Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan;5;12;12,26;15;Standard;1985,59;29,68694629;19 Years and 6 Months;Yes;90,86095344;37,21112319;High_spent_Medium_value_payments;394,8252567;
0x188e0;CUS_0x1664;November;Noelv;30;415-68-9816;Developer;29375,68;2728,973333;4;8;27;6;Personal Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan;5;13;12,26;15;Standard;1985,59;36,70444365;19 Years and 7 Months;Yes;90,86095344;250,2238763;Low_spent_Small_value_payments;221,8125036;
0x188e1;CUS_0x1664;December;Noelv;29;415-68-9816;Developer;29375,68;2728,973333;4;8;27;6;Personal Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan;5;11;18,26;11;Standard;1985,59;33,39054193;19 Years and 8 Months;Yes;90,86095344;153,4759034;Low_spent_Small_value_payments;318,5604765;
0x188ea;CUS_0x4e8f;September;Scottn;28;555-73-2915;Entrepreneur;40735,3;3202,608333;9;7;26;-100;Student Loan, Home Equity Loan, and Auto Loan;21;17;9,35;10;Bad;1774,12;25,28646114;11 Years and 9 Months;Yes;98,8651928;227,0007225;Low_spent_Large_value_payments;264,3949181;
0x188eb;CUS_0x4e8f;October;Scottn;28;555-73-2915;Entrepreneur;40735,3;3202,608333;9;7;26;3;Student Loan, Home Equity Loan, and Auto Loan;29;18;_;13;Bad;1774,12;32,70063168;11 Years and 10 Months;Yes;98,8651928;87,16385847;High_spent_Medium_value_payments;384,2317821;
0x188ec;CUS_0x4e8f;November;Scottn;28;555-73-2915;Entrepreneur;40735,3;3202,608333;9;7;26;3;Student Loan, Home Equity Loan, and Auto Loan;25;13;4,35;13;Bad;1774,12;40,53526361;11 Years and 11 Months;Yes;98,8651928;184,7501574;Low_spent_Small_value_payments;326,6454832;
0x188ed;CUS_0x4e8f;December;Scottn;27;555-73-2915;Entrepreneur;40735,3;2346,914659;9;7;26;3;Student Loan, Home Equity Loan, and Auto Loan;26;16;9,35;10;Bad;1774,12;23,87468055;12 Years and 0 Months;Yes;313,217989;198,8021568;High_spent_Large_value_payments;282,5934838;
0x188f6;CUS_0xe4f;September;Jason Langeg;53;015-79-4469;Teacher;29709,73;2346,914659;8;7;11;2;Credit-Builder Loan, and Auto Loan;12;7;5,36;8;Good;1129,06;37,03611089;32 Years and 4 Months;No;271,6576166;161,714137;High_spent_Small_value_payments;326,3055038;
0x188f7;CUS_0xe4f;October;Jason Langeg;53;015-79-4469;Teacher;29709,73;2346,914659;8;7;11;2;Credit-Builder Loan, and Auto Loan;16;9;5,36;8;Good;1129,06;27,37017738;32 Years and 5 Months;No;271,6576166;97,75967018;Low_spent_Small_value_payments;420,2599706;
0x188f8;CUS_0xe4f;November;Jason Langeg;53;015-79-4469;Teacher;29709,73;2346,914659;8;7;11;2;Credit-Builder Loan, and Auto Loan;12;8;10,36;8;Good;1129,06;33,53248769;32 Years and 7 Months;No;271,6576166;272,8143178;Low_spent_Small_value_payments;245,2053229;
0x188f9;CUS_0xe4f;December;Jason Langeg;52;015-79-4469;Teacher;29709,73;2587,810833;8;7;11;2;Credit-Builder Loan, and Auto Loan;12;9;7,36;3;Good;1129,06;29,34957039;32 Years and 7 Months;No;271,6576166;45,66773518;High_spent_Large_value_payments;422,3519056;
0x18902;CUS_0xc515;September;Sven Egentero;22;652-12-7729;Lawyer;8477,51;648,4591667;8;9;27;5;Home Equity Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, and Auto Loan;42;21;8,87;12;Bad;4854,6;29,94613385;11 Years and 0 Months;Yes;31,74688393;12,98640185;High_spent_Medium_value_payments;270,1126309;
0x18903;CUS_0xc515;October;Sven Egentero;22;652-12-7729;Lawyer;8477,51;648,4591667;8;9;27;5;Home Equity Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, and Auto Loan;39;20;15,87;12;Bad;4854,6;24,24426196;11 Years and 1 Months;Yes;31,74688393;51,40460534;Low_spent_Small_value_payments;271,6944274;
0x18904;CUS_0xc515;November;Sven Egentero;22;652-12-7729;Lawyer;8477,51;648,4591667;8;9;27;5;Home Equity Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, and Auto Loan;39;20;8,87;12;Bad;4854,6;27,97156767;11 Years and 2 Months;Yes;31,74688393;34,7582091;Low_spent_Small_value_payments;288,3408236;
0x18905;CUS_0xc515;December;Sven Egentero;21;652-12-7729;Lawyer;8477,51;648,4591667;8;9;27;5;Home Equity Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, and Auto Loan;39;20;8,87;8;Bad;4854,6;32,82342653;11 Years and 3 Months;Yes;31,74688393;10000;Low_spent_Small_value_payments;273,2012731;
0x1890e;CUS_0xae7d;September;Deepax;20;651-44-1370;Accountant;38047,79;3344,649167;0;4;12;2;Student Loan, and Home Equity Loan;14;1;11,17;0;Good;186,72;37,72461243;29 Years and 10 Months;No;61,70027376;136,0990594;High_spent_Medium_value_payments;386,6655835;
0x1890f;CUS_0xae7d;October;Deepax;20;651-44-1370;Accountant;38047,79;3344,649167;0;4;12;2;Student Loan, and Home Equity Loan;14;1;11,17;0;Good;186,72;37,13594938;29 Years and 11 Months;No;61,70027376;98,9884029;High_spent_Small_value_payments;423,77624;
0x18910;CUS_0xae7d;November;Deepax;20;651-44-1370;Accountant;38047,79;3344,649167;0;4;12;2;Student Loan, and Home Equity Loan;19;1;10,17;0;Good;186,72;28,91480641;30 Years and 0 Months;No;61,70027376;215,4375597;High_spent_Small_value_payments;317,3270832;
0x18911;CUS_0xae7d;December;Deepax;19;651-44-1370;Accountant;38047,79;6137,743333;0;4;12;2;Student Loan, and Home Equity Loan;14;1;18,17;0;Good;186,72;25,22125706;30 Years and 1 Months;NM;61,70027376;10000;Low_spent_Small_value_payments;135,5395788;
0x1891a;CUS_0x18d4;September;Michele Kambasy;26;532-17-7094;Teacher;74264,92;6137,743333;4;4;4;4;Home Equity Loan, Auto Loan, Student Loan, and Auto Loan;8;6;8,16;2;Good;307,82;36,80265182;25 Years and 7 Months;No;129,2249275;375,0325146;High_spent_Large_value_payments;389,5168912;
0x1891b;CUS_0x18d4;October;Michele Kambasy;26;532-17-7094;Teacher;74264,92;6137,743333;4;4;4;4;Home Equity Loan, Auto Loan, Student Loan, and Auto Loan;8;6;8,16;2;Good;307,82;29,85583638;25 Years and 8 Months;No;129,2249275;63,38611764;High_spent_Large_value_payments;661,1632882;
0x1891c;CUS_0x18d4;November;Michele Kambasy;26;532-17-7094;Teacher;74264,92;6137,743333;4;4;4;4;Home Equity Loan, Auto Loan, Student Loan, and Auto Loan;3;5;15,16;2;Good;307,82;29,15122439;25 Years and 9 Months;No;129,2249275;89,97394321;High_spent_Medium_value_payments;644,5754627;
0x1891d;CUS_0x18d4;December;Michele Kambasy;25;532-17-7094;Teacher;74264,92;6137,743333;4;4;4;4;Home Equity Loan, Auto Loan, Student Loan, and Auto Loan;3;7;5,16;2;Good;307,82;41,44373865;25 Years and 10 Months;No;129,2249275;91,80919445;High_spent_Large_value_payments;632,7402114;
0x18926;CUS_0x96b5;September;Shiha;39;933-15-4753;Lawyer;73937,4;6415,45;5;7;8;1;Mortgage Loan;28;15;0,69;5;Standard;405,73;32,67395179;32 Years and 4 Months;Yes;44,47976535;337,0648558;Low_spent_Small_value_payments;550,0003788;
0x18927;CUS_0x96b5;October;Shiha;39;933-15-4753;Lawyer;73937,4;6415,45;5;7;8;1;Mortgage Loan;28;15;6,69;5;Standard;405,73;34,51940896;32 Years and 5 Months;Yes;44,47976535;653,1474535;Low_spent_Small_value_payments;233,9177811;
0x18928;CUS_0x96b5;November;Shiha;39;933-15-4753;Lawyer;73937,4;6415,45;5;7;8;1;Mortgage Loan;28;15;0,69;5;Standard;405,73;35,46547653;32 Years and 6 Months;Yes;44,47976535;255,4948573;High_spent_Medium_value_payments;591,5703774;
0x18929;CUS_0x96b5;December;Shiha;3439;933-15-4753;Lawyer;73937,4;5754,61;5;7;8;1;Mortgage Loan;28;4270;0,69;0;Standard;405,73;23,00605242;32 Years and 7 Months;Yes;44,47976535;744,6476493;Low_spent_Small_value_payments;142,4175854;
0x18932;CUS_0xc37;September;Carolineu;37;391-43-5750;Musician;72307,32;5754,61;8;4;9;3;Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;18;15;15,34;7;Standard;1180,91;29,42428852;17 Years and 5 Months;Yes;152,9655306;79,59165414;High_spent_Medium_value_payments;592,9038152;
0x18933;CUS_0xc37;October;Carolineu;37;391-43-5750;Musician;72307,32;5754,61;8;4;9;3;Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;22;15;12,34;7;Standard;1180,91;40,10748715;17 Years and 6 Months;Yes;152,9655306;132,2480074;High_spent_Medium_value_payments;540,247462;
0x18934;CUS_0xc37;November;Carolineu;37;391-43-5750;Musician;72307,32;5754,61;8;4;9;3;Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;18;15;14,34;7;Standard;1180,91;28,27248468;17 Years and 7 Months;Yes;152,9655306;172,1029353;High_spent_Medium_value_payments;500,392534;
0x18935;CUS_0xc37;December;Carolineu;36;391-43-5750;Musician;72307,32;2165,769167;8;4;9;3;Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;18;15;15,34;6;Standard;1180,91;26,7774165;17 Years and 8 Months;Yes;152,9655306;196,0702377;High_spent_Medium_value_payments;476,4252317;
0x1893e;CUS_0xac3f;September;Patrick Ruckeru;17;010-72-9113;Doctor;27621,23;2165,769167;5;6;20;4;Not Specified, Not Specified, Student Loan, and Not Specified;14;19;8,35;6;Standard;555,67;32,17285785;17 Years and 5 Months;Yes;62,49392547;176,5323613;Low_spent_Large_value_payments;247,5506299;
0x1893f;CUS_0xac3f;October;Patrick Ruckeru;17;010-72-9113;Doctor;27621,23;2165,769167;5;6;20;4;Not Specified, Not Specified, Student Loan, and Not Specified;18;19;9,35;6;Standard;555,67;38,82040279;17 Years and 6 Months;Yes;62,49392547;124,9028019;Low_spent_Large_value_payments;299,1801893;
0x18940;CUS_0xac3f;November;Patrick Ruckeru;17;010-72-9113;Doctor;27621,23;2165,769167;5;6;20;4;Not Specified, Not Specified, Student Loan, and Not Specified;18;19;9,35;9;Standard;555,67;31,95071085;17 Years and 7 Months;Yes;62,49392547;128,1651233;High_spent_Small_value_payments;285,9178679;
0x18941;CUS_0xac3f;December;Patrick Ruckeru;17;010-72-9113;Doctor;27621,23;2165,769167;5;6;20;4;Not Specified, Not Specified, Student Loan, and Not Specified;18;19;9,35;6;Standard;555,67;34,58081147;17 Years and 8 Months;Yes;62,49392547;73,13295106;High_spent_Medium_value_payments;330,9500401;
